,,DatasetA,,,,DatasetB,,,,MatchA,MelderScore,MelderResult
SNo,Use Case,CompanyName,Address,SSN,LegalType,CompanyName,Address,SSN,LegalType,Id,score,
1,Exact match,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,CORP,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,CORP,A1,1.0000,
2,,Acme Corporation,"100 Main Street, New York, NY 10001",,LLC,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,,A2,0.9500,
3,,GLOBAL LOGISTICS INC,"New York, NY 10001",,,GLOBAL LOGISTICS INC,New York,578412589,CORP,A3,0.9335,
4,Normalized exact match,ACME LOGISTICS INC,"100 Main Street, New York, NY 10001",,,acme logistics inc,"100 Main Street, New York, NY 10001",954789512,COOP,A23,,Crossmap
5,,Apex Financial Corporation,,123456789,PLAN,Apex Financial Corp,"500 Innovation Way, Austin, TX 78701",987654321,LLC,A5,0.8498,
6,,Global Tech Services,"1200 Pacific Highway, San Diego, CA 92101",321654987,CORP,global tech services,"750 Broad Street, Newark, NJ 07102",321654987,CORP,A6,0.9096,
7,Keyboard error correction,cme Corporation,"100 Main Street, New York, NY 10001",954789512,NGO,Acne Corporation,"100 Main Street, New York, NY 10001",,,A7,0.7284,
8,,Global Logistics Inc,"450 North Oak Avenue, Chicago, IL 60601",578412589,INC,Golbal Logistics Inc,"450 North Oak Avenue, Chicago, IL 60601",578412589,LLC,A20,0.6930,MISMATCH
9,,Horizon Financial Services,"750 Broad Street, Newark, NJ 07102",456789123,LLC,Horizn Finacial Services,"750 Broad Street, Newark, NJ 07102",456789999,LLC,A88,0.5853,MISMATCH
10,Fuzzy matching,Delta Consulting Group,"1200 Pacific Highway, San Diego, CA 92101",321654987,LLC,Dalta Cnosulting Gropu,"100 Market St, San Francisco, CA 94105",321654987,,A49,,MISMATCH
11,,Pinnacle Financial Group,"300 Capitol St, Houston, TX 77002",987654321,CORP,Pnnacle Fnancial Group,"300 Capitol St, Houston, TX 77002",,,A11,0.4972,
12,,Zenith Industrial Supplies,"500 Airport Rd, Phoenix, AZ 85001",111222333,LLC,Zenith Industrail Suplies,"100 Broadway, New York, NY 10005",999888777,INC,A39,0.6258,MISMATCH
13,Token reordering,Trinity Grace Community Church,"100 Chapel Lane, Nashville, TN 37201",,CHURCH,Church Community Grace Trinity,"100 Chapel Lane, Nashville, TN 37201",987654321,CHURCH,A44,,Crossmap
